"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6862","testDropdownSelections()","","2025-12-05","passed","2025-12-05","","org.example.ficha5.DropdownTest","org.example.ficha5.DropdownTest","testDropdownSelections"
"","4281","testFirstMovie()","","2025-12-05","passed","2025-12-05","","Database.MovieDatabaseTest","Database.MovieDatabaseTest","testFirstMovie"
